date,neighborhood,crime,count
20100228,0,0,3
20100630,0,0,1
20110131,0,0,1
20110228,0,0,2
20110331,0,0,1
20110531,0,0,1
20110930,0,0,2
20120229,0,0,2
20120331,0,0,1
20120430,0,0,1
20120531,0,0,1
20120731,0,0,2
20120930,0,0,1
20130228,0,0,2
20130531,0,0,1
20130630,0,0,1
20130731,0,0,1
20131130,0,0,1
20140131,0,0,1
20140228,0,0,1
20140331,0,0,3
20140430,0,0,2
20140831,0,0,3
20140930,0,0,2
20141031,0,0,1
20141130,0,0,3
20141231,0,0,1
20150331,0,0,1
20150430,0,0,1
20150531,0,0,2
20100430,0,2,1
20101031,0,2,2
20101130,0,2,1
20110430,0,2,1
20120331,0,2,2
20130331,0,2,2
20130430,0,2,2
20140131,0,2,1
20141130,0,2,1
20150131,0,2,1
20100430,0,3,1
20100531,0,3,1
20100831,0,3,1
20100930,0,3,1
20101031,0,3,1
20101130,0,3,1
20110430,0,3,2
20110630,0,3,1
20110731,0,3,4
20110831,0,3,1
20110930,0,3,1
20120131,0,3,1
20120229,0,3,1
20120731,0,3,1
20121231,0,3,3
20130131,0,3,1
20130430,0,3,1
20130531,0,3,3
20130630,0,3,2
20130731,0,3,1
20130831,0,3,3
20130930,0,3,2
20140131,0,3,1
20140228,0,3,1
20140430,0,3,3
20140531,0,3,1
20140630,0,3,2
20140831,0,3,2
20140930,0,3,2
20141031,0,3,2
20141130,0,3,1
20150131,0,3,1
20150430,0,3,1
20150531,0,3,3
20150630,0,3,1
20100131,0,4,6
20100228,0,4,3
20100331,0,4,6
20100430,0,4,1
20100531,0,4,1
20100630,0,4,2
20100731,0,4,1
20100831,0,4,2
20100930,0,4,1
20101031,0,4,1
20101130,0,4,3
20110131,0,4,2
20110331,0,4,1
20110430,0,4,1
20110531,0,4,1
20110630,0,4,2
20110731,0,4,1
20110831,0,4,1
20110930,0,4,1
20111031,0,4,4
20111130,0,4,2
20111231,0,4,3
20120131,0,4,4
20120229,0,4,1
20120331,0,4,4
20120430,0,4,2
20120531,0,4,1
20120630,0,4,1
20120731,0,4,1
20120930,0,4,2
20121031,0,4,2
20121231,0,4,2
20130228,0,4,1
20130430,0,4,1
20130630,0,4,1
20130831,0,4,1
20131031,0,4,2
20131130,0,4,3
20131231,0,4,2
20140131,0,4,1
20140331,0,4,1
20140430,0,4,2
20140531,0,4,2
20140630,0,4,2
20140731,0,4,1
20140831,0,4,2
20140930,0,4,4
20141031,0,4,1
20141130,0,4,2
20150430,0,4,3
20150531,0,4,2
20150630,0,4,1
20100131,0,5,1
20100228,0,5,3
20100531,0,5,4
20100630,0,5,1
20100831,0,5,1
20100930,0,5,2
20101031,0,5,2
20101130,0,5,1
20101231,0,5,1
20110131,0,5,3
20110331,0,5,2
20110430,0,5,1
20110531,0,5,3
20110731,0,5,1
20110831,0,5,2
20110930,0,5,1
20120229,0,5,2
20120331,0,5,1
20120430,0,5,4
20120531,0,5,1
20120630,0,5,3
20120731,0,5,1
20120831,0,5,1
20120930,0,5,2
20121130,0,5,1
20121231,0,5,1
